timestamp,parameter,value
2025-06-03 04:03:11,MIN_BUY_SCORE,0.25
2025-06-03 05:03:15,MIN_BUY_SCORE,0.25
2025-06-03 06:03:18,MIN_BUY_SCORE,0.25
2025-06-03 07:03:21,MIN_BUY_SCORE,0.25
2025-06-03 08:03:25,MIN_BUY_SCORE,0.25
2025-06-03 08:18:29,MIN_BUY_SCORE,0.25
2025-06-03 08:33:32,MIN_BUY_SCORE,0.25
2025-06-03 08:48:36,MIN_BUY_SCORE,0.25
2025-06-03 09:03:39,MIN_BUY_SCORE,0.25
2025-06-03 09:18:43,MIN_BUY_SCORE,0.25
2025-06-03 09:33:46,MIN_BUY_SCORE,0.25
2025-06-03 09:48:50,MIN_BUY_SCORE,0.25
2025-06-03 10:03:54,MIN_BUY_SCORE,0.25
2025-06-03 10:18:58,MIN_BUY_SCORE,0.25
2025-06-03 10:34:02,MIN_BUY_SCORE,0.25
2025-06-03 10:49:07,MIN_BUY_SCORE,0.25
2025-06-03 11:04:11,MIN_BUY_SCORE,0.25
2025-06-03 11:19:15,MIN_BUY_SCORE,0.25
2025-06-03 11:34:19,MIN_BUY_SCORE,0.25
2025-06-03 11:49:23,MIN_BUY_SCORE,0.25
2025-06-03 12:04:27,MIN_BUY_SCORE,0.25
2025-06-03 12:19:31,MIN_BUY_SCORE,0.25
2025-06-03 12:34:36,MIN_BUY_SCORE,0.25
2025-06-03 12:49:35,MIN_BUY_SCORE,0.25
2025-06-03 13:04:39,MIN_BUY_SCORE,0.25
2025-06-03 13:19:43,MIN_BUY_SCORE,0.25
2025-06-03 13:34:47,MIN_BUY_SCORE,0.25
2025-06-03 13:49:52,MIN_BUY_SCORE,0.25
2025-06-03 14:04:56,MIN_BUY_SCORE,0.25
2025-06-03 14:20:00,MIN_BUY_SCORE,0.25
2025-06-03 14:35:04,MIN_BUY_SCORE,0.25
2025-06-03 14:50:08,MIN_BUY_SCORE,0.25
2025-06-03 15:05:15,MIN_BUY_SCORE,0.25
2025-06-03 15:20:19,MIN_BUY_SCORE,0.25
2025-06-03 15:35:23,MIN_BUY_SCORE,0.25
2025-06-03 15:50:27,MIN_BUY_SCORE,0.25
2025-06-03 16:05:32,MIN_BUY_SCORE,0.25
2025-06-03 16:20:35,MIN_BUY_SCORE,0.25
2025-06-03 16:35:39,MIN_BUY_SCORE,0.25
2025-06-03 16:50:43,MIN_BUY_SCORE,0.25
2025-06-03 17:05:47,MIN_BUY_SCORE,0.25
2025-06-03 17:20:53,MIN_BUY_SCORE,0.25
2025-06-03 17:35:59,MIN_BUY_SCORE,0.25
2025-06-03 17:51:04,MIN_BUY_SCORE,0.25
2025-06-03 18:06:09,MIN_BUY_SCORE,0.25
2025-06-03 18:21:14,MIN_BUY_SCORE,0.25
2025-06-03 18:36:20,MIN_BUY_SCORE,0.25
2025-06-03 18:51:25,MIN_BUY_SCORE,0.25
2025-06-03 19:06:30,MIN_BUY_SCORE,0.25
2025-06-03 19:21:36,MIN_BUY_SCORE,0.25
2025-06-03 19:36:42,MIN_BUY_SCORE,0.25
2025-06-03 19:51:47,MIN_BUY_SCORE,0.25
2025-06-03 20:06:53,MIN_BUY_SCORE,0.25
2025-06-03 20:21:58,MIN_BUY_SCORE,0.25
2025-06-03 20:37:03,MIN_BUY_SCORE,0.25
2025-06-03 20:52:09,MIN_BUY_SCORE,0.25
2025-06-03 21:07:14,MIN_BUY_SCORE,0.25
2025-06-03 21:22:19,MIN_BUY_SCORE,0.25
2025-06-03 21:37:25,MIN_BUY_SCORE,0.25
2025-06-03 21:52:30,MIN_BUY_SCORE,0.25
2025-06-03 22:07:35,MIN_BUY_SCORE,0.25
2025-06-03 22:37:41,MIN_BUY_SCORE,0.25
2025-06-03 23:07:47,MIN_BUY_SCORE,0.25
2025-06-03 23:37:54,MIN_BUY_SCORE,0.25
2025-06-04 00:08:00,MIN_BUY_SCORE,0.25
2025-06-04 00:38:05,MIN_BUY_SCORE,0.25
2025-06-04 01:08:09,MIN_BUY_SCORE,0.26
2025-06-04 01:38:14,MIN_BUY_SCORE,0.26
2025-06-04 02:08:18,MIN_BUY_SCORE,0.27
2025-06-04 03:08:23,MIN_BUY_SCORE,0.28
2025-06-04 04:08:27,MIN_BUY_SCORE,0.28
2025-06-04 05:08:31,MIN_BUY_SCORE,0.29
