timestamp,signal,total_signals,positive_outcomes,hit_rate_%,avg_return_%
2025-06-01 18:53:53,HOLD,2268,229,10.1,-1.49
2025-06-01 19:08:57,BUY,70,70,100.0,909.9
2025-06-01 19:08:57,SELL,70,70,100.0,1.26
2025-06-01 19:08:57,HOLD,2322,248,10.7,-1.47
2025-06-01 19:24:00,BUY,71,71,100.0,909.9
2025-06-01 19:24:00,SELL,71,71,100.0,1.26
2025-06-01 19:24:00,HOLD,2376,268,11.3,-1.44
2025-06-01 19:39:04,BUY,72,72,100.0,909.9
2025-06-01 19:39:04,SELL,72,72,100.0,1.26
2025-06-01 19:39:04,HOLD,2430,289,11.9,-1.42
2025-06-01 19:54:07,BUY,73,73,100.0,909.9
2025-06-01 19:54:07,SELL,73,73,100.0,1.26
2025-06-01 19:54:07,HOLD,2484,308,12.4,-1.39
2025-06-01 20:09:11,BUY,74,74,100.0,909.9
2025-06-01 20:09:11,SELL,74,74,100.0,1.26
2025-06-01 20:09:11,HOLD,2538,321,12.6,-1.38
2025-06-01 20:24:14,BUY,75,75,100.0,909.9
2025-06-01 20:24:14,SELL,75,75,100.0,1.26
2025-06-01 20:24:14,HOLD,2592,328,12.7,-1.37
2025-06-01 20:39:18,BUY,76,76,100.0,909.9
2025-06-01 20:39:18,SELL,76,76,100.0,1.26
2025-06-01 20:39:18,HOLD,2646,328,12.4,-1.37
2025-06-01 20:54:22,BUY,77,77,100.0,909.9
2025-06-01 20:54:22,SELL,77,77,100.0,1.26
2025-06-01 20:54:22,HOLD,2700,329,12.2,-1.37
2025-06-01 21:09:25,BUY,78,78,100.0,909.9
2025-06-01 21:09:25,SELL,78,78,100.0,1.26
2025-06-01 21:09:25,HOLD,2754,338,12.3,-1.37
2025-06-01 21:24:28,BUY,79,79,100.0,909.9
2025-06-01 21:24:28,SELL,79,79,100.0,1.26
2025-06-01 21:24:28,HOLD,2808,349,12.4,-1.36
2025-06-01 21:39:32,BUY,80,80,100.0,909.9
2025-06-01 21:39:32,SELL,80,80,100.0,1.26
2025-06-01 21:39:32,HOLD,2862,362,12.6,-1.35
2025-06-01 21:54:35,BUY,81,81,100.0,909.9
2025-06-01 21:54:35,SELL,81,81,100.0,1.26
2025-06-01 21:54:35,HOLD,2916,376,12.9,-1.34
2025-06-01 22:09:39,BUY,82,82,100.0,909.9
2025-06-01 22:09:39,SELL,82,82,100.0,1.26
2025-06-01 22:09:39,HOLD,2970,389,13.1,-1.33
2025-06-01 22:39:43,BUY,83,83,100.0,909.9
2025-06-01 22:39:43,SELL,83,83,100.0,1.26
2025-06-01 22:39:43,HOLD,3024,403,13.3,-1.32
2025-06-01 23:09:46,BUY,84,84,100.0,909.9
2025-06-01 23:09:46,SELL,84,84,100.0,1.26
2025-06-01 23:09:46,HOLD,3078,419,13.6,-1.3
2025-06-01 23:39:49,BUY,85,85,100.0,909.9
2025-06-01 23:39:49,SELL,85,85,100.0,1.26
2025-06-01 23:39:49,HOLD,3132,436,13.9,-1.29
2025-06-02 00:09:52,BUY,86,86,100.0,909.9
2025-06-02 00:09:52,SELL,108,106,98.1,1.4
2025-06-02 00:09:52,HOLD,3460,719,20.8,-1.06
2025-06-02 00:39:55,BUY,87,87,100.0,909.9
2025-06-02 00:39:55,SELL,131,127,96.9,1.42
2025-06-02 00:39:55,HOLD,3788,973,25.7,-0.9
2025-06-02 01:09:58,BUY,88,88,100.0,909.9
2025-06-02 01:09:58,SELL,154,149,96.8,1.52
2025-06-02 01:09:58,HOLD,4116,1257,30.5,-0.73
2025-06-02 01:40:01,BUY,89,89,100.0,909.9
2025-06-02 01:40:01,SELL,177,170,96.0,1.57
2025-06-02 01:40:01,HOLD,4444,1535,34.5,-0.6
2025-06-02 02:10:04,BUY,90,90,100.0,909.9
2025-06-02 02:10:04,SELL,200,191,95.5,1.6
2025-06-02 02:10:04,HOLD,4772,1810,37.9,-0.49
2025-06-02 03:10:07,BUY,91,91,100.0,909.9
2025-06-02 03:10:07,SELL,223,213,95.5,1.66
2025-06-02 03:10:07,HOLD,5100,2089,41.0,-0.37
2025-06-02 04:10:10,BUY,92,92,100.0,909.9
2025-06-02 04:10:10,SELL,246,234,95.1,1.65
2025-06-02 04:10:10,HOLD,5428,2328,42.9,-0.3
2025-06-02 05:10:12,BUY,93,93,100.0,909.9
2025-06-02 05:10:12,SELL,269,251,93.3,1.57
2025-06-02 05:10:12,HOLD,5756,2494,43.3,-0.28
2025-06-02 06:10:16,BUY,94,94,100.0,909.9
2025-06-02 06:10:16,SELL,292,267,91.4,1.5
2025-06-02 06:10:16,HOLD,6084,2640,43.4,-0.26
2025-06-02 07:10:19,BUY,95,95,100.0,909.9
2025-06-02 07:10:19,SELL,315,283,89.8,1.47
2025-06-02 07:10:19,HOLD,6412,2836,44.2,-0.23
2025-06-02 08:10:22,BUY,96,96,100.0,909.9
2025-06-02 08:10:22,SELL,338,300,88.8,1.42
2025-06-02 08:10:22,HOLD,6740,3006,44.6,-0.21
2025-06-02 08:25:25,BUY,97,97,100.0,909.9
2025-06-02 08:25:25,SELL,361,316,87.5,1.38
2025-06-02 08:25:25,HOLD,7068,3176,44.9,-0.19
2025-06-02 08:40:28,BUY,98,98,100.0,909.9
2025-06-02 08:40:28,SELL,384,334,87.0,1.36
2025-06-02 08:40:28,HOLD,7396,3353,45.3,-0.17
2025-06-02 08:55:31,BUY,99,99,100.0,909.9
2025-06-02 08:55:31,SELL,407,352,86.5,1.34
2025-06-02 08:55:31,HOLD,7724,3562,46.1,-0.15
2025-06-02 09:10:34,BUY,100,100,100.0,909.9
2025-06-02 09:10:34,SELL,430,371,86.3,1.34
2025-06-02 09:10:34,HOLD,8052,3784,47.0,-0.11
2025-06-02 09:25:37,BUY,101,101,100.0,909.9
2025-06-02 09:25:37,SELL,453,392,86.5,1.35
2025-06-02 09:25:37,HOLD,8380,4022,48.0,-0.08
2025-06-02 09:40:40,BUY,102,102,100.0,909.9
2025-06-02 09:40:40,SELL,476,410,86.1,1.35
2025-06-02 09:40:40,HOLD,8708,4225,48.5,-0.05
2025-06-02 09:55:43,BUY,103,103,100.0,909.9
2025-06-02 09:55:43,SELL,499,430,86.2,1.34
2025-06-02 09:55:43,HOLD,9036,4427,49.0,-0.03
2025-06-02 10:10:47,BUY,104,104,100.0,909.9
