timestamp,symbol,W3,W7,W14,score
2025-05-31 21:43:27,SOL,-8.463,-10.3825,-5.0114,-7.6582
2025-05-31 21:43:27,DOT,-10.3741,-9.7263,-10.8505,-10.3703
2025-05-31 21:43:27,LTC,-7.911,-8.2384,-8.63,-8.2968
2025-05-31 21:47:24,BTC,-2.83,-2.8413,1.5426,-1.0844
2025-05-31 21:47:24,ETH,-5.2587,0.382,2.6501,-0.403
2025-05-31 21:47:24,ADA,-7.6997,-7.6387,-7.1264,-7.4521
2025-05-31 21:47:24,BNB,-4.1216,-1.366,3.1141,-0.4006
2025-05-31 21:47:24,XRP,-3.4929,-5.809,-6.7369,-5.4853
2025-05-31 21:47:24,SOL,-8.463,-10.3825,-5.0114,-7.6582
2025-05-31 21:47:24,DOT,-10.4286,-9.7812,-10.9048,-10.4248
2025-05-31 21:47:24,LTC,-7.9215,-8.2488,-8.6404,-8.3073
2025-05-31 21:58:31,BTC,-2.8388,-2.8501,1.5334,-1.0933
2025-05-31 21:58:31,ETH,-5.3504,0.2848,2.5508,-0.4994
2025-05-31 21:58:31,ADA,-7.7442,-7.6832,-7.1712,-7.4967
2025-05-31 21:58:31,BNB,-4.1347,-1.3794,3.1,-0.4142
2025-05-31 21:58:31,XRP,-3.5645,-5.8789,-6.8061,-5.5555
2025-05-31 21:58:31,SOL,-8.5674,-10.4847,-5.1199,-7.7636
2025-05-31 21:58:31,DOT,-10.614,-9.9679,-11.0892,-10.6103
2025-05-31 21:58:31,LTC,-8.0789,-8.4056,-8.7966,-8.464
2025-05-31 22:13:34,BTC,-2.9571,-2.9684,1.4098,-1.2137
2025-05-31 22:13:34,ETH,-5.4708,0.1572,2.4203,-0.626
2025-05-31 22:13:34,ADA,-7.7787,-7.7178,-7.2059,-7.5313
2025-05-31 22:13:34,BNB,-4.0663,-1.3091,3.1735,-0.3432
2025-05-31 22:13:34,XRP,-3.6186,-5.9317,-6.8584,-5.6084
2025-05-31 22:13:34,SOL,-8.6371,-10.5529,-5.1921,-7.8339
2025-05-31 22:13:34,DOT,-10.7318,-10.0866,-11.2063,-10.728
2025-05-31 22:13:34,LTC,-8.2048,-8.5311,-8.9215,-8.5894
2025-05-31 22:26:30,BTC,-2.8783,-2.8895,1.4922,-1.1334
2025-05-31 22:26:30,ETH,-5.3441,0.2915,2.5576,-0.4927
2025-05-31 22:26:30,ADA,-7.8578,-7.7969,-7.2855,-7.6106
2025-05-31 22:26:30,BNB,-4.0634,-1.3061,3.1767,-0.3402
2025-05-31 22:26:30,XRP,-3.6287,-5.9416,-6.8682,-5.6184
2025-05-31 22:26:30,SOL,-8.6139,-10.5302,-5.1681,-7.8104
2025-05-31 22:26:30,DOT,-10.6577,-10.0119,-11.1326,-10.6539
2025-05-31 22:26:30,LTC,-8.0999,-8.4266,-8.8174,-8.4849
2025-05-31 22:43:38,BTC,-2.8312,-2.8425,1.5414,-1.0856
2025-05-31 22:43:38,ETH,-5.3187,0.3184,2.5851,-0.4661
2025-05-31 22:43:38,ADA,-7.7888,-7.7278,-7.216,-7.5414
2025-05-31 22:43:38,BNB,-4.0227,-1.2642,3.2205,-0.2979
2025-05-31 22:43:38,XRP,-3.5869,-5.9008,-6.8278,-5.5775
2025-05-31 22:43:38,SOL,-8.5965,-10.5132,-5.15,-7.7929
2025-05-31 22:43:38,DOT,-10.7165,-10.0712,-11.1911,-10.7128
2025-05-31 22:43:38,LTC,-8.0369,-8.3638,-8.7549,-8.4222
2025-05-31 22:48:29,BTC,-2.8222,-2.8335,1.5508,-1.0764
2025-05-31 22:48:29,ETH,-5.2822,0.3571,2.6247,-0.4277
2025-05-31 22:48:29,ADA,-7.8545,-7.7935,-7.2821,-7.6072
2025-05-31 22:48:29,BNB,-4.0954,-1.339,3.1423,-0.3734
2025-05-31 22:48:29,XRP,-3.5619,-5.8764,-6.8036,-5.5529
2025-05-31 22:48:29,SOL,-8.5907,-10.5075,-5.144,-7.787
2025-05-31 22:48:29,DOT,-10.6533,-10.0075,-11.1282,-10.6495
2025-05-31 22:48:29,LTC,-8.0684,-8.3952,-8.7862,-8.4535
2025-05-31 23:05:53,BTC,-2.6966,-2.7079,1.682,-0.9486
2025-05-31 23:05:53,ETH,-4.937,0.7228,2.9987,-0.0648
2025-05-31 23:05:53,ADA,-7.3078,-7.2465,-6.732,-7.0591
2025-05-31 23:05:53,BNB,-3.9456,-1.1849,3.3034,-0.2178
2025-05-31 23:05:53,XRP,-3.3003,-5.6211,-6.5508,-5.2968
2025-05-31 23:05:53,SOL,-8.3991,-10.3199,-4.9452,-7.5938
2025-05-31 23:05:53,DOT,-10.3021,-9.6537,-10.7789,-10.2983
2025-05-31 23:05:53,LTC,-7.8481,-8.1756,-8.5676,-8.2341
2025-05-31 23:13:41,BTC,-2.8175,-2.8288,1.5557,-1.0716
2025-05-31 23:13:41,ETH,-5.1301,0.5182,2.7895,-0.2678
2025-05-31 23:13:41,ADA,-7.3537,-7.2924,-6.7782,-7.1051
2025-05-31 23:13:41,BNB,-3.8336,-1.0697,3.4238,-0.1015
2025-05-31 23:13:41,XRP,-3.5909,-5.9047,-6.8316,-5.5813
2025-05-31 23:13:41,SOL,-8.5616,-10.4791,-5.1138,-7.7577
2025-05-31 23:13:41,DOT,-10.2367,-9.5878,-10.7138,-10.2329
2025-05-31 23:13:41,LTC,-7.932,-8.2593,-8.6508,-8.3177
2025-05-31 23:43:44,BTC,-2.6874,-2.6987,1.6917,-0.9391
2025-05-31 23:43:44,ETH,-5.1648,0.4815,2.7519,-0.3042
2025-05-31 23:43:44,ADA,-7.4902,-7.4291,-6.9156,-7.242
2025-05-31 23:43:44,BNB,-3.9631,-1.2029,3.2846,-0.236
2025-05-31 23:43:44,XRP,-3.4054,-5.7236,-6.6524,-5.3997
2025-05-31 23:43:44,SOL,-8.3527,-10.2745,-4.897,-7.5469
2025-05-31 23:43:44,DOT,-10.3152,-9.6669,-10.7919,-10.3114
2025-05-31 23:43:44,LTC,-7.8691,-8.1965,-8.5884,-8.255
2025-06-01 00:02:13,BTC,-2.6874,-2.6987,1.6917,-0.9391
2025-06-01 00:02:13,ETH,-5.1648,0.4815,2.7519,-0.3042
2025-06-01 00:02:13,ADA,-7.4902,-7.4291,-6.9156,-7.242
2025-06-01 00:02:13,BNB,-3.9631,-1.2029,3.2846,-0.236
2025-06-01 00:02:13,XRP,-3.4054,-5.7236,-6.6524,-5.3997
2025-06-01 00:02:13,SOL,-8.3527,-10.2745,-4.897,-7.5469
2025-06-01 00:02:13,DOT,-10.3152,-9.6669,-10.7919,-10.3114
2025-06-01 00:02:13,LTC,-7.8691,-8.1965,-8.5884,-8.255
2025-06-01 00:02:36,BTC,-2.6874,-2.6987,1.6917,-0.9391
2025-06-01 00:02:36,ETH,-5.1648,0.4815,2.7519,-0.3042
2025-06-01 00:02:36,ADA,-7.4902,-7.4291,-6.9156,-7.242
2025-06-01 00:02:36,BNB,-3.9631,-1.2029,3.2846,-0.236
2025-06-01 00:02:36,XRP,-3.4054,-5.7236,-6.6524,-5.3997
2025-06-01 00:02:36,SOL,-8.3527,-10.2745,-4.897,-7.5469
2025-06-01 00:02:36,DOT,-10.3152,-9.6669,-10.7919,-10.3114
2025-06-01 00:02:36,LTC,-7.8691,-8.1965,-8.5884,-8.255
2025-06-01 00:08:13,BTC,-0.6844,-3.7884,-1.5171,-1.9487
2025-06-01 00:08:13,ETH,-3.4147,-0.3927,1.7504,-0.4421
2025-06-01 00:08:13,ADA,-4.0491,-8.8286,-8.7977,-7.3824
2025-06-01 00:08:13,BNB,-2.2505,-1.5357,1.2539,-0.6343
2025-06-01 00:08:13,XRP,-2.3089,-6.3867,-9.7494,-6.5084
2025-06-01 00:08:13,SOL,-5.3709,-10.327,-9.0547,-8.3312
2025-06-01 00:08:13,DOT,-5.4887,-9.547,-14.6207,-10.359
2025-06-01 00:08:13,LTC,-5.7927,-8.1861,-12.9288,-9.3652
2025-06-01 00:13:47,BTC,-0.6933,-3.797,-1.5259,-1.9575
2025-06-01 00:13:47,ETH,-3.352,-0.3281,1.8165,-0.3774
2025-06-01 00:13:47,ADA,-4.3597,-9.1237,-9.0929,-7.6822
2025-06-01 00:13:47,BNB,-2.2505,-1.5357,1.2539,-0.6343
2025-06-01 00:13:47,XRP,-2.4586,-6.5301,-9.8877,-6.6517
2025-06-01 00:13:47,SOL,-5.3469,-10.3042,-9.0317,-8.308
2025-06-01 00:13:47,DOT,-5.5257,-9.5823,-14.654,-10.394
2025-06-01 00:13:47,LTC,-5.7713,-8.1652,-12.909,-9.3445
2025-06-01 00:43:50,BTC,-0.8177,-3.9176,-1.6494,-2.0804
2025-06-01 00:43:50,ETH,-3.5109,-0.4919,1.6491,-0.5412
2025-06-01 00:43:50,ADA,-4.5973,-9.3495,-9.3188,-7.9116
2025-06-01 00:43:50,BNB,-2.2891,-1.5745,1.214,-0.6735
2025-06-01 00:43:50,XRP,-2.753,-6.8122,-10.1597,-6.9334
2025-06-01 00:43:50,SOL,-5.6469,-10.5886,-9.32,-8.5987
2025-06-01 00:43:50,DOT,-5.5464,-9.6022,-14.6728,-10.4137
2025-06-01 00:43:50,LTC,-6.018,-8.4056,-13.137,-9.5819
2025-06-01 01:13:53,BTC,-0.785,-3.8859,-1.6169,-2.048
2025-06-01 01:13:53,ETH,-3.6553,-0.6408,1.497,-0.69
2025-06-01 01:13:53,ADA,-4.6448,-9.3946,-9.364,-7.9574
2025-06-01 01:13:53,BNB,-2.3839,-1.67,1.1157,-0.7699
2025-06-01 01:13:53,XRP,-2.692,-6.7537,-10.1033,-6.875
2025-06-01 01:13:53,SOL,-5.6469,-10.5886,-9.32,-8.5987
2025-06-01 01:13:53,DOT,-5.6203,-9.6729,-14.7396,-10.4838
2025-06-01 01:13:53,LTC,-6.2218,-8.6043,-13.3254,-9.778
2025-06-01 01:43:56,BTC,-0.8665,-3.9649,-1.6977,-2.1285
2025-06-01 01:43:56,ETH,-3.8081,-0.7984,1.336,-0.8475
2025-06-01 01:43:56,ADA,-4.9737,-9.7071,-9.6766,-8.2749
2025-06-01 01:43:56,BNB,-2.4624,-1.7491,1.0344,-0.8497
2025-06-01 01:43:56,XRP,-3.0866,-7.1319,-10.4678,-7.2527
2025-06-01 01:43:56,SOL,-6.031,-10.9525,-9.6891,-8.9707
2025-06-01 01:43:56,DOT,-5.8651,-9.9072,-14.9607,-10.716
2025-06-01 01:43:56,LTC,-6.4578,-8.8343,-13.5435,-10.0051
2025-06-01 02:02:07,BTC,-0.9378,-4.0339,-1.7684,-2.1989
2025-06-01 02:02:07,ETH,-3.951,-0.9457,1.1855,-0.9948
2025-06-01 02:02:07,ADA,-4.9565,-9.6908,-9.6602,-8.2583
2025-06-01 02:02:07,BNB,-2.4713,-1.7581,1.0252,-0.8587
2025-06-01 02:02:07,XRP,-3.2509,-7.2894,-10.6197,-7.41
2025-06-01 02:02:07,SOL,-6.025,-10.9468,-9.6834,-8.9649
2025-06-01 02:02:07,DOT,-5.9644,-10.0022,-15.0504,-10.8101
2025-06-01 02:02:07,LTC,-6.608,-8.9807,-13.6823,-10.1495
2025-06-01 10:07:00,BTC,-1.2547,-4.341,-2.0827,-2.5118
2025-06-01 10:07:00,ETH,-4.7388,-1.7582,0.3555,-1.8069
2025-06-01 10:07:00,ADA,-7.2205,-11.842,-11.8122,-10.4436
2025-06-01 10:07:00,BNB,-3.1128,-2.4043,0.3607,-1.5109
2025-06-01 10:07:00,XRP,-4.0789,-8.0828,-11.3846,-8.2024
2025-06-01 10:07:00,SOL,-7.4352,-12.2832,-11.0387,-10.331
2025-06-01 10:07:00,DOT,-6.8349,-10.8354,-15.8368,-11.6358
2025-06-01 10:07:00,LTC,-7.1551,-9.5139,-14.188,-10.6759
2025-06-01 10:22:04,BTC,-1.2547,-4.341,-2.0827,-2.5118
2025-06-01 10:22:04,ETH,-4.7844,-1.8053,0.3075,-1.8539
2025-06-01 10:22:04,ADA,-7.276,-11.8947,-11.8649,-10.4972
2025-06-01 10:22:04,BNB,-3.1128,-2.4043,0.3607,-1.5109
2025-06-01 10:22:04,XRP,-4.062,-8.0666,-11.369,-8.1862
2025-06-01 10:22:04,SOL,-7.6272,-12.4652,-11.2233,-10.517
2025-06-01 10:22:04,DOT,-6.7426,-10.747,-15.7534,-11.5482
2025-06-01 10:22:04,LTC,-7.08,-9.4407,-14.1186,-10.6036
2025-06-01 10:37:07,BTC,-1.2099,-4.2975,-2.0382,-2.4675
2025-06-01 10:37:07,ETH,-4.8235,-1.8456,0.2662,-1.8943
2025-06-01 10:37:07,ADA,-7.5953,-12.1982,-12.1685,-10.8054
2025-06-01 10:37:07,BNB,-3.3039,-2.5968,0.1627,-1.7052
2025-06-01 10:37:07,XRP,-4.3506,-8.3431,-11.6356,-8.4624
2025-06-01 10:37:07,SOL,-7.9693,-12.7893,-11.552,-10.8484
2025-06-01 10:37:07,DOT,-6.9111,-10.9083,-15.9056,-11.7081
2025-06-01 10:37:07,LTC,-7.1015,-9.4616,-14.1384,-10.6243
2025-06-01 10:52:09,BTC,-1.2098,-4.2974,-2.0381,-2.4674
